Year of Death,"All Races,Both Sexes","All Races,Males","All Races,Females","Whites,Both Sexes","Whites,Males","Whites,Females","Blacks,Both Sexes","Blacks,Males","Blacks,Females"
1975,4.11,4.96,3.4,4.32,5.2,3.6,2.41,3.2,1.75
1976,4.34,5.28,3.56,4.54,5.5,3.74,2.66,3.54,1.98
1977,4.4,5.39,3.59,4.63,5.69,3.77,2.54,2.99,2.18
1978,4.53,5.54,3.71,4.76,5.82,3.91,2.7,3.36,2.18
1979,4.26,5.25,3.45,4.48,5.5,3.64,2.63,3.3,2.11
1980,4.37,5.45,3.47,4.62,5.77,3.66,2.46,3.04,2.02
1981,4.36,5.33,3.59,4.6,5.58,3.8,2.55,3.31,1.98
1982,4.43,5.38,3.67,4.67,5.67,3.88,2.64,3.37,2.09
1983,4.39,5.31,3.64,4.66,5.64,3.85,2.49,2.91,2.18
1984,4.55,5.57,3.74,4.82,5.86,4,2.56,3.35,1.94
1985,4.57,5.6,3.75,4.85,5.92,3.99,2.54,3.22,2.02
1986,4.53,5.59,3.68,4.78,5.9,3.87,2.77,3.47,2.27
1987,4.71,5.68,3.93,4.99,6,4.17,2.89,3.55,2.36
1988,4.72,5.89,3.79,4.98,6.21,4,2.91,3.63,2.39
1989,4.73,5.82,3.88,5.01,6.15,4.12,2.73,3.47,2.23
1990,4.87,5.97,3.99,5.16,6.3,4.24,2.97,3.66,2.42
1991,4.95,6.01,4.11,5.27,6.37,4.37,2.84,3.42,2.41
1992,4.85,5.88,4.03,5.17,6.26,4.3,2.82,3.41,2.39
1993,4.79,5.87,3.91,5.09,6.23,4.17,2.83,3.59,2.27
1994,4.84,5.88,3.97,5.17,6.26,4.25,2.69,3.23,2.26
1995,4.67,5.67,3.86,4.97,6.02,4.11,2.77,3.4,2.33
1996,4.73,5.74,3.91,5.07,6.14,4.19,2.64,3.24,2.21
1997,4.68,5.66,3.9,4.99,6.03,4.13,2.87,3.3,2.55
1998,4.68,5.7,3.83,5,6.06,4.12,2.73,3.39,2.24
1999,4.64,5.66,3.81,4.98,6.04,4.1,2.73,3.28,2.29
2000,4.53,5.58,3.67,4.86,5.96,3.93,2.7,3.28,2.24
2001,4.45,5.49,3.59,4.78,5.88,3.86,2.58,3.13,2.19
2002,4.45,5.46,3.62,4.78,5.83,3.9,2.63,3.2,2.21
2003,4.4,5.36,3.62,4.74,5.73,3.92,2.66,3.36,2.11
2004,4.31,5.22,3.53,4.64,5.59,3.82,2.46,2.98,2.04
2005,4.34,5.31,3.53,4.69,5.69,3.84,2.52,3.23,1.99
2006,4.17,5.12,3.39,4.53,5.53,3.67,2.34,2.91,1.93
2007,4.21,5.1,3.47,4.58,5.52,3.78,2.37,2.75,2.07
2008,4.28,5.25,3.46,4.64,5.65,3.77,2.48,3.15,2.01
2009,4.35,5.27,3.57,4.73,5.72,3.88,2.53,2.98,2.17
2010,4.25,5.22,3.42,4.59,5.63,3.68,2.54,3.08,2.15
2011,4.25,5.2,3.44,4.64,5.66,3.75,2.37,2.82,2.01
2012,4.4,5.43,3.52,4.78,5.84,3.85,2.67,3.44,2.14
2013,4.34,5.22,3.59,4.74,5.65,3.95,2.43,3.16,1.89
2014,4.43,5.41,3.58,4.81,5.87,3.87,2.81,3.3,2.42
